epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,209.263,0.52949,0.91851,1,0.1999,0.000415643,0.000415643,0.000415643
2,426.153,0.31873,0.94337,1,0.18138,0.00081583,0.00081583,0.00081583
3,636.469,0.31325,0.93785,1,0.18263,0.00119952,0.00119952,0.00119952
4,849.42,0.30441,0.95028,1,0.14935,0.00117575,0.00117575,0.00117575
5,1064.97,0.24805,0.96409,1,0.10698,0.001151,0.001151,0.001151
6,1275.02,0.21874,0.9489,1,0.12003,0.00112625,0.00112625,0.00112625
7,1479.39,0.21412,0.94751,1,0.13197,0.0011015,0.0011015,0.0011015
8,1682.44,0.18932,0.93646,1,0.15341,0.00107675,0.00107675,0.00107675
9,1884.26,0.17244,0.9489,1,0.14367,0.001052,0.001052,0.001052
10,2081.98,0.15522,0.96823,1,0.10237,0.00102725,0.00102725,0.00102725
11,2280.52,0.1518,0.96547,1,0.08749,0.0010025,0.0010025,0.0010025
12,2478.98,0.15421,0.97652,1,0.08515,0.00097775,0.00097775,0.00097775
13,2677.57,0.14059,0.96823,1,0.07184,0.000953,0.000953,0.000953
14,2875.41,0.13002,0.95856,1,0.09998,0.00092825,0.00092825,0.00092825
15,3073.37,0.12248,0.9779,1,0.06386,0.0009035,0.0009035,0.0009035
16,3274.26,0.10994,0.97514,1,0.08613,0.00087875,0.00087875,0.00087875
17,3475,0.11196,0.98343,1,0.06199,0.000854,0.000854,0.000854
18,3676.05,0.10868,0.96685,1,0.09452,0.00082925,0.00082925,0.00082925
19,3874.47,0.12877,0.96961,1,0.09643,0.0008045,0.0008045,0.0008045
20,4071.46,0.11324,0.96823,1,0.07144,0.00077975,0.00077975,0.00077975
21,4269.38,0.09592,0.96823,1,0.06999,0.000755,0.000755,0.000755
22,4467.05,0.08218,0.97514,1,0.0761,0.00073025,0.00073025,0.00073025
23,4664.52,0.08211,0.97238,1,0.08633,0.0007055,0.0007055,0.0007055
24,4861.12,0.08778,0.9779,1,0.06501,0.00068075,0.00068075,0.00068075
25,5057.24,0.08162,0.9779,1,0.05171,0.000656,0.000656,0.000656
26,5253.73,0.0877,0.98757,1,0.05004,0.00063125,0.00063125,0.00063125
27,5452.1,0.07589,0.97376,1,0.08402,0.0006065,0.0006065,0.0006065
28,5657.56,0.06665,0.98204,1,0.04952,0.00058175,0.00058175,0.00058175
29,5856.34,0.07915,0.98895,1,0.04025,0.000557,0.000557,0.000557
30,6053.62,0.0801,0.98757,1,0.03833,0.00053225,0.00053225,0.00053225
31,6251.54,0.0611,0.98895,1,0.03561,0.0005075,0.0005075,0.0005075
32,6449.22,0.05382,0.98343,1,0.04112,0.00048275,0.00048275,0.00048275
33,6646.36,0.06307,0.98895,1,0.04353,0.000458,0.000458,0.000458
34,6843.87,0.05387,0.98757,1,0.03949,0.00043325,0.00043325,0.00043325
35,7042.64,0.05771,0.98066,1,0.05206,0.0004085,0.0004085,0.0004085
36,7241.67,0.05765,0.98895,1,0.03291,0.00038375,0.00038375,0.00038375
37,7440.92,0.04771,0.99309,1,0.03155,0.000359,0.000359,0.000359
38,7642.37,0.04872,0.99171,1,0.03089,0.00033425,0.00033425,0.00033425
39,7851.53,0.04267,0.99033,1,0.02959,0.0003095,0.0003095,0.0003095
40,8056.07,0.03746,0.99033,1,0.02887,0.00028475,0.00028475,0.00028475
41,8260,0.04164,0.98757,1,0.03085,0.00026,0.00026,0.00026
42,8466.27,0.03971,0.99171,1,0.03323,0.00023525,0.00023525,0.00023525
43,8677.41,0.03551,0.99171,1,0.0352,0.0002105,0.0002105,0.0002105
44,8878.21,0.03066,0.98757,1,0.03597,0.00018575,0.00018575,0.00018575
45,9081.21,0.02908,0.99309,1,0.03565,0.000161,0.000161,0.000161
46,9281.69,0.03388,0.99033,1,0.02916,0.00013625,0.00013625,0.00013625
47,9480.71,0.03111,0.99309,1,0.03056,0.0001115,0.0001115,0.0001115
48,9676.67,0.03656,0.98895,1,0.03037,8.675e-05,8.675e-05,8.675e-05
49,9873.01,0.02768,0.98895,1,0.03259,6.2e-05,6.2e-05,6.2e-05
50,10069.3,0.02505,0.99033,1,0.03052,3.725e-05,3.725e-05,3.725e-05
